Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
76.37,768.0,-68.32,2168.0,-64.26,2875.0,-58.45,957.0,-91.49,1672.0,24.0,8.0,-58.45,957.0,-91.49,1672.0
219.66,2074.0,-80.01,3389.0,-57.12,3923.0,-77.42,2184.0,-64.26,2875.0,24.0,94.0,-58.73,2160.0,-64.12,2867.0
190.96,3247.0,-83.37,4538.0,-86.94,5166.0,-80.01,3389.0,-101.5,4009.0,16.0,62.0,-61.04,3365.0,-55.51,3915.0
199.5,4420.0,-73.36,5696.0,-81.9,6337.0,-85.33,4530.0,-107.24,5174.0,16.0,40.0,-58.31,4514.0,-58.8,5112.0
209.79,5578.0,-88.62,6811.0,-96.6,7464.0,-86.31,5688.0,-107.66,6314.0,39.0,39.0,-71.89,5672.0,-77.07,6274.0
200.55,6708.0,-77.28,7976.0,-107.38,8592.0,-101.85,6827.0,-104.44,7448.0,16.0,40.0,-63.35,6788.0,-76.86,7409.0
203.91,7849.0,-91.07,9128.0,-101.71,9747.0,-87.36,7968.0,-107.38,8592.0,24.0,47.0,-73.78,7952.0,-79.8,8552.0
211.33,9002.0,-93.59,10270.0,-103.46,10844.0,-101.71,9121.0,-101.71,9747.0,23.0,70.0,-78.33,9097.0,-74.55,9700.0
225.75,10153.0,-91.56,11357.0,-114.52,11889.0,-93.59,10270.0,-109.76,10867.0,23.0,94.0,-66.5,10247.0,-74.83,10797.0
218.33,11239.0,-114.8,12387.0,-100.73,12983.0,-110.25,11349.0,-133.63,11921.0,16.0,55.0,-72.24,11326.0,-74.2,11827.0
232.54,12260.0,-104.72,13445.0,-104.44,14034.0,-118.09,12379.0,-116.41,12952.0,16.0,47.0,-83.09,12363.0,-86.66,12897.0
208.18,13327.0,-122.08,14492.0,-124.18,15034.0,-108.22,13437.0,-109.62,14003.0,23.0,86.0,-82.95,13421.0,-88.41,13956.0
212.66,14382.0,-112.42,15539.0,-98.77,16119.0,-122.08,14492.0,-127.75,15065.0,17.0,32.0,-80.64,14469.0,-82.67,14979.0
240.66,15422.0,-121.31,16587.0,-106.4,17170.0,-118.86,15532.0,-104.65,16080.0,16.0,55.0,-82.88,15515.0,-88.34,16048.0
247.31,16460.0,-55.23,17659.0,-105.28,18168.0,-127.47,16579.0,-107.17,17162.0,8.0,85.0,-92.26,16563.0,-86.52,17107.0
206.01,17541.0,-104.44,18685.0,-118.02,19250.0,-103.67,17643.0,-117.67,18207.0,8.0,85.0,-94.29,17635.0,-75.11,18122.0
224.21,18568.0,-119.56,19721.0,-105.0,20318.0,-110.88,18677.0,-118.65,19258.0,15.0,70.0,-98.98,18669.0,-80.08,19173.0
