Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
248.08,1868.0,-105.84,3102.0,-109.27,3670.0,-115.15,2001.0,-145.46,2637.0,30.0,92.0,-115.15,2001.0,-145.46,2637.0
277.41,2984.0,-122.43,4227.0,-133.7,4832.0,-133.7,3125.0,-128.8,3755.0,23.0,93.0,-84.98,3095.0,-103.74,3663.0
283.5,4078.0,-104.16,5313.0,-136.99,5901.0,-128.8,4219.0,-133.7,4832.0,16.0,101.0,-93.59,4196.0,-96.88,4739.0
276.64,5155.0,-117.74,6365.0,-120.75,6960.0,-128.87,5297.0,-139.09,5908.0,16.0,77.0,-113.4,5281.0,-92.4,5807.0
287.7,6201.0,-139.02,7387.0,-146.58,7960.0,-121.8,6358.0,-135.31,6937.0,16.0,85.0,-94.99,6342.0,-97.44,6860.0
297.43,7245.0,-113.54,8427.0,-142.87,9001.0,-139.02,7387.0,-149.31,7953.0,15.0,93.0,-112.07,7371.0,-100.94,7868.0
273.28,8262.0,-127.82,9459.0,-152.18,10055.0,-121.8,8419.0,-145.18,9009.0,23.0,77.0,-98.98,8404.0,-100.45,8916.0
280.14,9326.0,-137.2,10498.0,-145.6,11092.0,-128.31,9466.0,-157.78,10039.0,24.0,77.0,-108.29,9443.0,-106.89,9962.0
280.91,10355.0,-127.82,11543.0,-149.03,12118.0,-137.2,10498.0,-148.26,11084.0,24.0,62.0,-93.73,10474.0,-106.33,11007.0
280.21,11402.0,-100.66,12578.0,-150.22,13161.0,-127.82,11543.0,-152.32,12102.0,15.0,63.0,-98.28,11519.0,-111.51,12040.0
292.25,12435.0,-124.04,13619.0,-141.54,14202.0,-129.01,12562.0,-151.55,13154.0,15.0,78.0,-105.84,12547.0,-111.44,13091.0
291.48,13462.0,-133.77,14668.0,-129.64,15260.0,-127.26,13611.0,-149.94,14217.0,16.0,73.0,-108.08,13596.0,-109.27,14139.0
285.25,14533.0,-158.48,15715.0,-142.66,16311.0,-133.77,14668.0,-129.64,15260.0,23.0,93.0,-104.16,14652.0,-106.33,15187.0
297.29,15607.0,-134.61,16783.0,-144.41,17372.0,-160.65,15722.0,-147.91,16327.0,16.0,70.0,-113.4,15699.0,-99.4,16234.0
295.82,16642.0,-168.98,17821.0,-156.52,18364.0,-145.39,16776.0,-148.89,17356.0,31.0,100.0,-122.01,16760.0,-101.22,17286.0
300.37,17687.0,-147.14,18835.0,-142.31,19416.0,-176.54,17829.0,-159.74,18379.0,23.0,69.0,-114.24,17798.0,-105.14,18279.0
306.53,18686.0,-131.18,19867.0,-155.61,20465.0,-158.27,18827.0,-144.76,19400.0,23.0,78.0,-121.17,18804.0,-110.81,19331.0
300.65,19717.0,-160.79,20914.0,-129.36,21481.0,-151.76,19859.0,-158.34,20458.0,23.0,31.0,-119.77,19836.0,-108.57,20380.0
319.97,20780.0,-121.52,21955.0,-137.13,22496.0,-160.79,20914.0,-130.41,21435.0,15.0,79.0,-122.85,20891.0,-110.81,21404.0
291.06,21813.0,-143.85,22979.0,-138.25,23541.0,-136.57,21947.0,-146.02,22519.0,16.0,70.0,-122.15,21932.0,-103.88,22440.0
300.51,22837.0,-147.35,24014.0,-142.87,24607.0,-149.17,22971.0,-144.69,23556.0,22.0,61.0,-124.39,22955.0,-102.2,23486.0
308.07,23896.0,-150.57,25063.0,-143.5,25653.0,-147.35,24014.0,-145.46,24591.0,23.0,78.0,-102.27,23992.0,-108.5,24530.0
309.05,24922.0,-156.38,26097.0,-145.11,26665.0,-150.57,25063.0,-144.9,25660.0,15.0,93.0,-111.79,25040.0,-105.49,25582.0
316.26,25969.0,-151.62,27122.0,-133.63,27726.0,-160.3,26089.0,-149.03,26688.0,23.0,72.0,-125.02,26074.0,-104.09,26595.0
317.1,26989.0,-135.52,28184.0,-132.16,28775.0,-151.62,27122.0,-141.19,27711.0,16.0,55.0,-109.55,27099.0,-104.37,27639.0
294.91,28058.0,-154.49,29219.0,-142.17,29785.0,-141.68,28176.0,-145.25,28744.0,16.0,77.0,-124.67,28160.0,-106.61,28689.0
303.03,29085.0,-146.93,30241.0,-153.3,30831.0,-155.96,29211.0,-142.31,29792.0,16.0,69.0,-126.7,29195.0,-104.86,29715.0
280.49,30130.0,-161.56,31281.0,-139.09,31892.0,-146.93,30241.0,-153.3,30831.0,31.0,70.0,-111.44,30225.0,-105.56,30762.0
296.31,31154.0,-136.5,32348.0,-164.71,32905.0,-168.91,31296.0,-140.0,31884.0,16.0,61.0,-132.23,31265.0,-105.49,31814.0
290.92,32215.0,-120.96,33369.0,-157.36,33904.0,-149.8,32341.0,-169.61,32889.0,15.0,69.0,-133.98,32325.0,-107.52,32828.0
279.16,33228.0,-132.02,34370.0,-147.42,34949.0,-163.52,33354.0,-157.36,33904.0,15.0,62.0,-136.99,33339.0,-113.19,33835.0
289.59,34219.0,-151.13,35390.0,-137.48,35979.0,-137.06,34362.0,-147.98,34942.0,23.0,85.0,-119.56,34347.0,-119.35,34880.0
290.15,35257.0,-137.06,36453.0,-140.91,37056.0,-158.2,35398.0,-139.93,35994.0,15.0,69.0,-122.22,35375.0,-112.56,35909.0
291.55,36312.0,-126.98,37506.0,-165.06,38079.0,-140.35,36445.0,-142.24,37048.0,16.0,93.0,-120.54,36430.0,-108.36,36979.0
301.42,37365.0,-146.86,38542.0,-146.51,39152.0,-134.26,37499.0,-168.07,38095.0,22.0,84.0,-117.81,37483.0,-100.87,38002.0
319.06,38410.0,-138.18,39605.0,-137.13,40212.0,-146.86,38542.0,-146.51,39152.0,15.0,70.0,-106.05,38520.0,-109.34,39068.0
291.34,39457.0,-131.74,40665.0,-132.86,41264.0,-141.89,39597.0,-141.05,40189.0,15.0,84.0,-103.46,39582.0,-113.12,40119.0
294.77,40517.0,-141.82,41728.0,-135.52,42313.0,-138.25,40657.0,-133.91,41271.0,15.0,100.0,-120.82,40642.0,-104.02,41187.0
