TO time,TO value,IC time,IC value
7180.0,-116.41,7118.0,-97.93
8501.0,-92.68,7975.0,-150.78
9303.0,-100.59,8084.0,-184.31
10286.0,-107.8,8863.0,-174.72
11109.0,-99.05,8973.0,-187.25
12011.0,-117.11,9767.0,-159.18
12877.0,-95.76,9853.0,-211.19
13381.0,-196.42,10663.0,-160.09
14673.0,-100.38,10733.0,-217.91
15141.0,-125.44,11525.0,-183.68
16378.0,-77.14,11618.0,-199.64
17170.0,-75.25,12430.0,-147.84
17738.0,-141.89,12493.0,-156.1
18967.0,-90.23,13319.0,-124.95
19500.0,-190.96,14179.0,-156.87
20815.0,-92.96,14281.0,-170.52
21256.0,-99.89,15087.0,-53.2
22130.0,-173.95,15930.0,-55.58
23352.0,-93.94,15992.0,-118.79
23872.0,-205.87,16806.0,-61.46
25083.0,-84.84,16860.0,-120.96
25610.0,-120.68,17676.0,-70.07
26427.0,-127.96,18534.0,-144.2
27650.0,-82.04,18626.0,-140.42
28508.0,-93.45,19438.0,-70.49
29445.0,-89.53,20298.0,-151.06
30310.0,-90.79,20383.0,-153.93
30829.0,-176.82,21179.0,-156.38
32065.0,-92.47,22068.0,-59.85
32572.0,-117.11,22895.0,-146.16
33759.0,-77.28,22975.0,-194.6
34294.0,-92.33,23810.0,-103.53
35528.0,-82.18,24699.0,-112.21
36402.0,-78.12,25501.0,-81.27
37245.0,-49.28,26364.0,-123.48
38119.0,-72.66,27251.0,-32.34
38704.0,-56.21,27290.0,-131.18
39939.0,-89.6,28101.0,-131.18
40465.0,-129.99,28171.0,-139.86
41373.0,-154.98,28997.0,-94.08
42413.0,-64.12,29855.0,-157.22
,,29941.0,-148.68
,,30767.0,-68.46
,,31609.0,-131.6
,,31703.0,-181.44
,,32517.0,-67.83
,,33398.0,-77.7
,,34231.0,-135.66
,,35189.0,-158.27
,,36040.0,-25.69
,,36915.0,-49.14
,,37789.0,-39.48
,,38665.0,-37.94
,,39507.0,-130.34
,,39585.0,-166.6
,,40387.0,-143.43
,,41301.0,-84.84
,,42232.0,-58.59
