TO time,TO value,IC time,IC value
6536.0,-127.05,6139.0,-8.12
7452.0,-201.18,7094.0,-171.22
8317.0,-181.37,7965.0,-133.21
9216.0,-168.14,8855.0,-188.93
10081.0,-134.96,9665.0,-45.08
11006.0,-171.64,10643.0,-166.46
11870.0,-136.43,11457.0,-18.27
12790.0,-137.06,12427.0,-182.84
13714.0,-164.15,13350.0,-119.0
14613.0,-184.1,14243.0,-125.86
15477.0,-160.09,15117.0,-169.26
16384.0,-150.5,16029.0,-162.82
17264.0,-174.09,16910.0,-156.45
18123.0,-146.58,17768.0,-167.37
19011.0,-206.36,18649.0,-150.92
19754.0,-130.06,19390.0,-18.41
20631.0,-135.31,20285.0,-173.88
21463.0,-128.66,21094.0,-56.21
22389.0,-203.0,22035.0,-155.89
23227.0,-143.57,22791.0,-23.87
24076.0,-153.23,23730.0,-178.85
24949.0,-134.05,24533.0,-47.88
25812.0,-134.19,25418.0,-2.52
26731.0,-136.71,26368.0,-176.33
27651.0,-167.72,27281.0,-193.06
28541.0,-176.68,28179.0,-139.72
29413.0,-185.99,29052.0,-156.24
30245.0,-133.91,29838.0,-37.52
31173.0,-147.7,30724.0,-47.53
32092.0,-163.66,31723.0,-148.89
32949.0,-147.35,32579.0,-148.47
33835.0,-164.57,33467.0,-180.25
34694.0,-132.65,34267.0,-41.16
35534.0,-129.22,35149.0,-92.54
36423.0,-133.77,35998.0,-73.22
37311.0,-128.52,36894.0,-35.14
38237.0,-186.27,37874.0,-150.57
39139.0,-149.45,38769.0,-163.59
40037.0,-137.9,39666.0,-184.87
