TO time,TO value,IC time,IC value
7626.0,-94.15,7532.0,-104.3
9248.0,-67.27,8667.0,-77.21
9853.0,-119.28,8737.0,-133.07
10958.0,-126.49,9751.0,-103.46
12078.0,-170.1,10872.0,-107.31
13219.0,-119.21,11984.0,-112.91
14337.0,-115.71,13118.0,-118.16
15426.0,-149.66,14236.0,-119.49
17066.0,-71.89,15316.0,-104.23
18027.0,-60.76,16462.0,-87.71
19229.0,-70.56,16532.0,-118.23
20302.0,-78.82,17530.0,-81.9
20917.0,-101.01,18597.0,-110.04
22511.0,-77.77,18708.0,-142.45
23513.0,-77.91,19757.0,-77.49
24116.0,-112.77,20832.0,-112.0
25664.0,-77.91,21879.0,-117.88
26245.0,-119.49,21981.0,-135.03
27801.0,-80.71,22985.0,-97.09
28808.0,-69.02,24007.0,-130.2
29902.0,-62.02,25126.0,-75.32
30984.0,-57.68,26144.0,-128.17
32095.0,-74.9,27241.0,-62.23
33234.0,-79.8,28281.0,-106.4
34361.0,-66.64,29348.0,-99.47
34900.0,-124.11,30447.0,-61.46
35997.0,-126.7,30517.0,-116.83
37072.0,-121.1,31536.0,-98.21
38148.0,-134.96,32570.0,-113.68
39711.0,-69.65,32680.0,-154.49
40678.0,-66.08,33723.0,-82.11
41376.0,-129.92,34820.0,-110.04
42944.0,-62.3,35895.0,-111.72
43550.0,-112.35,36962.0,-105.07
44642.0,-137.41,38054.0,-118.37
46170.0,-89.39,39127.0,-135.73
46845.0,-106.75,39236.0,-117.32
47836.0,-170.66,40231.0,-75.67
49385.0,-73.92,41265.0,-117.25
50489.0,-71.19,42385.0,-77.07
51459.0,-59.22,42447.0,-128.8
,,43456.0,-126.07
,,44540.0,-118.23
,,45610.0,-49.98
,,46720.0,-99.75
,,47750.0,-98.98
,,48837.0,-92.33
,,48907.0,-159.39
,,49922.0,-94.01
,,49992.0,-163.03
,,50995.0,-99.61
,,52091.0,-81.9
