TO time,TO value,IC time,IC value
2783.0,-48.51,2514.0,-15.12
4177.0,-75.88,3734.0,-104.51
5206.0,-89.04,4784.0,-147.77
6313.0,-129.15,5860.0,-120.12
7379.0,-109.48,6818.0,-53.27
8449.0,-109.48,8018.0,-129.43
9517.0,-106.82,8956.0,-41.44
10573.0,-106.4,10129.0,-127.47
11601.0,-119.21,11163.0,-123.2
12667.0,-102.06,12108.0,-34.65
13692.0,-103.11,13264.0,-112.49
14766.0,-109.9,14245.0,-79.38
15775.0,-134.33,15346.0,-132.93
16770.0,-108.57,16279.0,-28.91
17848.0,-106.05,17309.0,-58.31
18920.0,-112.14,18476.0,-129.78
19922.0,-106.05,19487.0,-133.49
20984.0,-105.21,20525.0,-134.12
22015.0,-114.03,21591.0,-142.31
23052.0,-103.67,22623.0,-133.7
24071.0,-109.41,23642.0,-140.0
25095.0,-117.6,24677.0,-142.8
26157.0,-109.06,25624.0,-40.6
27204.0,-109.76,26770.0,-151.9
28257.0,-125.23,27828.0,-142.87
29299.0,-125.02,28846.0,-141.89
30365.0,-108.71,29911.0,-143.08
31390.0,-107.66,30877.0,-33.32
32439.0,-121.45,32009.0,-129.64
33467.0,-112.21,32943.0,-41.37
34457.0,-110.53,33979.0,-42.35
35531.0,-109.13,34979.0,-49.98
36536.0,-110.88,36051.0,-23.87
37635.0,-110.67,37080.0,-23.38
38716.0,-115.15,38241.0,-132.72
39708.0,-107.24,39199.0,-34.09
40751.0,-109.69,40319.0,-147.35
41810.0,-116.55,41379.0,-122.57
42790.0,-104.02,42299.0,-35.42
43845.0,-105.56,43317.0,-61.74
44910.0,-106.96,44380.0,-60.13
46023.0,-115.85,45453.0,-32.13
47065.0,-111.93,46512.0,-32.69
48112.0,-107.03,47569.0,-41.37
49176.0,-135.45,48732.0,-125.44
50179.0,-108.99,49750.0,-134.19
,,50713.0,-30.52
