TO time,TO value,IC time,IC value
4307.0,-36.4,3028.0,-6.37
6005.0,-36.12,4191.0,-38.43
7346.0,-84.49,5777.0,-39.34
9035.0,-35.35,5871.0,-59.78
10729.0,-39.41,7236.0,-10.36
11614.0,-60.2,8699.0,-49.98
13701.0,-50.19,10162.0,-41.58
14528.0,-57.54,11481.0,-77.84
16529.0,-39.9,12943.0,-69.51
17623.0,-33.11,13084.0,-87.64
19387.0,-32.41,14420.0,-74.27
20642.0,-36.89,15904.0,-33.88
21719.0,-66.08,17379.0,-17.71
23330.0,-39.83,18842.0,-20.23
24766.0,-31.57,20157.0,-53.83
26061.0,-42.63,20266.0,-59.92
27446.0,-75.81,21634.0,-45.71
28895.0,-79.38,23081.0,-30.87
30230.0,-56.7,24549.0,-2.31
31748.0,-77.28,25952.0,-73.43
33549.0,-29.82,27345.0,-80.43
34497.0,-62.09,28754.0,-3.43
36138.0,-43.68,30090.0,-46.55
37975.0,-36.89,31598.0,-26.32
38806.0,-57.89,33020.0,-28.91
40215.0,-62.09,34355.0,-61.46
41560.0,-63.14,35902.0,-35.84
43120.0,-38.57,35988.0,-87.92
44419.0,-96.46,37363.0,-38.43
45878.0,-59.43,38712.0,-70.91
47986.0,-39.48,40106.0,-81.62
49405.0,-47.18,41451.0,-71.68
50832.0,-49.0,42877.0,-19.6
51481.0,-39.06,44319.0,-36.68
52808.0,-46.76,45753.0,-71.96
54245.0,-69.72,47301.0,-46.97
55804.0,-38.64,48628.0,-65.8
56927.0,-46.9,48762.0,-83.86
58800.0,-44.8,50048.0,-40.39
59655.0,-97.23,51381.0,-70.63
61062.0,-44.94,52706.0,-77.7
62454.0,-53.06,54151.0,-50.96
63695.0,-69.16,55491.0,-69.86
65095.0,-111.02,55600.0,-82.04
66729.0,-33.74,56818.0,-76.93
67930.0,-36.4,58208.0,-60.62
69373.0,-44.24,58294.0,-75.18
71365.0,-41.93,59507.0,-66.01
71973.0,-64.68,60834.0,-43.4
74172.0,-48.3,62219.0,-42.14
75710.0,-44.8,63610.0,-44.24
,,64986.0,-36.12
,,66329.0,-30.38
,,67701.0,-32.27
,,69067.0,-73.15
,,69231.0,-102.34
,,70494.0,-72.94
,,70625.0,-77.7
,,71873.0,-76.58
,,73299.0,-82.81
,,73479.0,-39.62
,,74867.0,-35.49
,,76363.0,-66.43
