TO time,TO value,IC time,IC value
4645.0,-53.41,3668.0,-44.38
6111.0,-52.92,5334.0,-25.41
7655.0,-62.79,6838.0,-16.17
8972.0,-61.95,8310.0,-9.66
10433.0,-60.2,9643.0,-52.57
11818.0,-59.29,11111.0,-46.34
13299.0,-64.05,12524.0,-26.53
14744.0,-73.43,13947.0,-34.16
16076.0,-85.33,15342.0,-44.45
17447.0,-82.04,16746.0,-27.09
18741.0,-83.72,18085.0,-66.5
20171.0,-90.3,19436.0,-21.84
21462.0,-73.43,20758.0,-53.55
22863.0,-73.29,22086.0,-36.89
24245.0,-72.73,23596.0,-88.2
25592.0,-71.54,24924.0,-119.0
26970.0,-76.79,26239.0,-13.93
28418.0,-65.94,27571.0,-67.48
29743.0,-68.11,29014.0,-74.83
31022.0,-75.95,30328.0,-53.13
32305.0,-73.64,31614.0,-59.08
33666.0,-90.16,32936.0,-33.81
34982.0,-88.13,34269.0,-21.56
36385.0,-80.78,35607.0,-40.74
37701.0,-79.1,36971.0,-42.07
39090.0,-82.67,38331.0,-44.66
40502.0,-91.0,39748.0,-44.1
41905.0,-90.93,41120.0,-68.53
43336.0,-90.16,42535.0,-48.79
44729.0,-91.7,43921.0,-48.72
46073.0,-84.14,45335.0,-23.45
47527.0,-82.39,46682.0,-57.89
48821.0,-78.54,48083.0,-47.46
50162.0,-78.82,49563.0,-116.06
51576.0,-85.19,50793.0,-28.7
52932.0,-87.99,52286.0,-95.76
54313.0,-90.02,53566.0,-11.34
55683.0,-64.33,54949.0,-30.03
56981.0,-64.96,56299.0,-23.66
58330.0,-67.55,57638.0,-36.4
59729.0,-76.37,58991.0,-44.66
61046.0,-78.26,60340.0,-30.31
62377.0,-75.18,61771.0,-122.08
63769.0,-78.12,62993.0,-38.5
65173.0,-95.69,64402.0,-42.91
66514.0,-93.52,65751.0,-26.39
67829.0,-93.1,67107.0,-33.25
69133.0,-94.5,68493.0,-125.58
70459.0,-85.4,69736.0,-45.43
71833.0,-67.34,71100.0,-41.58
,,72461.0,-39.69
