TO time,TO value,IC time,IC value
3824.0,-31.01,3682.0,-44.1
5819.0,-33.74,5107.0,-31.78
6593.0,-35.63,6483.0,-59.64
7916.0,-43.33,7830.0,-49.7
9466.0,-40.25,9220.0,-52.5
10815.0,-43.82,10541.0,-69.02
11973.0,-116.76,11872.0,-36.33
13396.0,-82.04,13240.0,-40.88
14687.0,-56.0,14539.0,-78.4
16751.0,-44.1,16021.0,-56.42
17471.0,-96.32,17361.0,-81.76
18795.0,-65.66,18679.0,-80.64
20285.0,-53.27,19779.0,-85.68
20982.0,-122.57,19906.0,-116.27
22115.0,-121.1,20872.0,-96.53
23176.0,-108.5,21998.0,-133.21
24667.0,-71.26,23104.0,-122.43
25780.0,-62.44,24157.0,-109.41
26378.0,-102.06,25243.0,-89.25
27453.0,-101.92,26277.0,-107.87
28709.0,-77.77,27351.0,-104.72
29299.0,-87.85,28310.0,-125.72
30563.0,-87.29,28419.0,-175.42
31450.0,-82.67,29228.0,-139.72
32265.0,-80.08,30100.0,-153.3
33262.0,-84.0,30186.0,-217.77
33732.0,-91.0,31011.0,-102.41
35006.0,-106.4,31889.0,-143.64
35504.0,-135.66,31959.0,-162.05
36747.0,-84.77,32761.0,-156.24
37490.0,-93.03,32863.0,-195.65
38410.0,-91.84,33662.0,-168.07
39485.0,-94.64,34528.0,-163.17
39991.0,-107.66,34614.0,-152.6
41007.0,-99.82,35416.0,-165.27
42465.0,-70.42,36315.0,-58.38
43038.0,-151.97,37141.0,-147.91
44574.0,-73.22,37219.0,-155.68
45474.0,-68.46,38006.0,-157.71
46264.0,-56.42,38083.0,-173.95
47491.0,-63.21,38869.0,-158.97
48944.0,-47.11,38969.0,-250.32
50323.0,-40.25,39914.0,-136.78
51790.0,-46.55,40922.0,-127.4
53224.0,-73.99,41973.0,-106.75
,,42977.0,-99.96
,,43999.0,-98.56
,,45017.0,-75.39
,,46060.0,-42.14
,,47406.0,-60.83
,,48819.0,-46.2
,,50237.0,-63.91
,,51673.0,-66.36
,,53131.0,-7.35
,,54578.0,-35.84
