TO time,TO value,IC time,IC value
5029.0,-39.69,2537.0,-15.54
6800.0,-62.86,3065.0,-34.79
8199.0,-80.64,4590.0,-38.64
9559.0,-80.99,6063.0,-22.61
10936.0,-77.35,7477.0,-37.59
12370.0,-77.21,8807.0,-30.17
13787.0,-75.74,10221.0,-41.16
15239.0,-78.96,11620.0,-62.09
16638.0,-87.08,13026.0,-17.71
17773.0,-96.04,14486.0,-55.79
18915.0,-89.32,15852.0,-32.97
20089.0,-113.54,17187.0,-49.98
21184.0,-111.51,18351.0,-78.12
22302.0,-109.97,19572.0,-152.25
23402.0,-110.11,20708.0,-141.82
24473.0,-107.66,21712.0,-37.38
25578.0,-104.79,22803.0,-42.21
26682.0,-108.92,24011.0,-149.59
27758.0,-103.88,25010.0,-30.38
28677.0,-147.35,26220.0,-148.89
29572.0,-124.53,27213.0,-41.16
30405.0,-121.66,28229.0,-171.5
31293.0,-127.05,29141.0,-197.4
32158.0,-129.15,30027.0,-40.39
33047.0,-128.1,30891.0,-45.71
33974.0,-125.02,31764.0,-204.12
35021.0,-123.9,32637.0,-18.83
36032.0,-127.96,33621.0,-149.24
37103.0,-118.72,34499.0,-63.07
38198.0,-107.38,35625.0,-148.89
39267.0,-107.1,36678.0,-162.82
40334.0,-109.13,37752.0,-141.82
41352.0,-107.8,38807.0,-138.88
42418.0,-108.99,39780.0,-21.98
43446.0,-117.11,40816.0,-41.79
44541.0,-114.59,41880.0,-43.54
45631.0,-116.69,43009.0,-139.51
46668.0,-108.29,43958.0,-54.74
47939.0,-106.19,45041.0,-47.18
50716.0,-96.6,46129.0,-50.82
52026.0,-86.52,47229.0,-29.19
53447.0,-94.71,49947.0,-37.66
54718.0,-90.86,51287.0,-37.24
56108.0,-85.68,52651.0,-40.32
57500.0,-86.38,54009.0,-48.3
,,55357.0,-36.33
,,56770.0,-53.9
