Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
293.16,9338.0,-111.09,10657.0,-145.04,11205.0,-124.39,9533.0,-194.81,10166.0,23.0,78.0,-124.39,9533.0,-194.81,10166.0
310.73,10501.0,-141.19,11778.0,-181.23,12379.0,-147.56,10672.0,-184.31,11276.0,16.0,94.0,-91.63,10649.0,-138.11,11198.0
323.68,11598.0,-153.86,12885.0,-179.34,13525.0,-146.23,11770.0,-184.8,12394.0,24.0,103.0,-113.96,11754.0,-133.07,12300.0
330.54,12720.0,-118.58,14038.0,-180.74,14688.0,-153.86,12885.0,-182.84,13541.0,7.0,87.0,-103.18,12861.0,-133.35,13438.0
323.26,13865.0,-136.99,15195.0,-179.55,15831.0,-146.09,14022.0,-185.92,14672.0,16.0,103.0,-126.98,14015.0,-134.75,14585.0
296.59,15014.0,-158.34,16337.0,-189.14,16955.0,-136.99,15195.0,-180.18,15839.0,16.0,103.0,-110.46,15179.0,-129.29,15736.0
325.43,16180.0,-149.66,17461.0,-214.27,18069.0,-158.34,16337.0,-192.08,16963.0,8.0,86.0,-123.9,16321.0,-128.87,16860.0
316.82,17304.0,-151.83,18535.0,-196.07,19160.0,-152.11,17453.0,-230.37,18045.0,24.0,78.0,-127.05,17445.0,-131.74,17959.0
332.15,18386.0,-157.92,19621.0,-193.83,20261.0,-153.93,18543.0,-210.91,19136.0,24.0,63.0,-116.48,18519.0,-148.68,19058.0
344.75,19478.0,-146.58,20752.0,-203.98,21329.0,-163.87,19629.0,-206.43,20238.0,16.0,79.0,-108.64,19605.0,-161.21,20175.0
329.7,20578.0,-148.26,21851.0,-201.81,22449.0,-156.03,20744.0,-208.18,21337.0,17.0,90.0,-122.85,20728.0,-146.09,21258.0
328.37,21686.0,-163.87,22926.0,-206.15,23527.0,-149.94,21844.0,-203.0,22465.0,24.0,87.0,-124.74,21827.0,-151.34,22375.0
359.24,22784.0,-154.42,24019.0,-211.4,24637.0,-163.87,22926.0,-206.15,23527.0,24.0,80.0,-115.5,22902.0,-147.56,23440.0
328.23,23854.0,-166.67,25105.0,-204.4,25720.0,-154.42,24019.0,-211.54,24622.0,24.0,86.0,-111.37,23995.0,-148.96,24542.0
341.11,24963.0,-158.2,26210.0,-206.78,26818.0,-166.67,25105.0,-204.4,25720.0,16.0,95.0,-115.29,25081.0,-146.65,25634.0
335.93,26060.0,-184.94,27292.0,-198.17,27929.0,-166.46,26202.0,-207.9,26826.0,23.0,105.0,-132.72,26186.0,-150.22,26731.0
345.52,27142.0,-116.83,28412.0,-182.98,29062.0,-184.94,27292.0,-199.29,27937.0,8.0,87.0,-116.76,27269.0,-147.14,27832.0
322.14,28262.0,-156.17,29528.0,-211.05,30150.0,-152.25,28396.0,-201.11,29046.0,16.0,102.0,-136.22,28388.0,-150.01,28959.0
328.93,29370.0,-171.5,30608.0,-205.03,31248.0,-156.17,29528.0,-211.05,30150.0,16.0,71.0,-132.86,29512.0,-145.25,30048.0
368.97,30467.0,-170.38,31699.0,-190.4,32351.0,-171.5,30608.0,-205.03,31224.0,16.0,64.0,-132.02,30592.0,-148.47,31153.0
367.92,31557.0,-155.61,32819.0,-199.36,33395.0,-170.38,31699.0,-193.06,32328.0,16.0,84.0,-130.83,31683.0,-153.37,32264.0
332.71,32668.0,-171.15,33894.0,-204.33,34488.0,-155.61,32819.0,-207.06,33410.0,16.0,102.0,-122.64,32803.0,-142.24,33326.0
357.21,33759.0,-170.1,34978.0,-208.53,35609.0,-171.15,33894.0,-212.73,34511.0,16.0,79.0,-133.21,33878.0,-140.7,34409.0
357.0,34836.0,-183.89,36052.0,-198.24,36631.0,-170.1,34978.0,-213.5,35593.0,23.0,63.0,-140.63,34962.0,-154.07,35514.0
383.25,35919.0,-154.14,37109.0,-199.78,37712.0,-183.89,36052.0,-219.66,36599.0,16.0,72.0,-122.99,36029.0,-155.19,36536.0
337.33,36951.0,-159.88,38205.0,-211.12,38773.0,-164.08,37101.0,-199.78,37712.0,16.0,79.0,-135.03,37085.0,-156.31,37640.0
348.74,38053.0,-170.17,39257.0,-204.26,39843.0,-173.53,38197.0,-213.99,38781.0,16.0,94.0,-137.34,38181.0,-153.16,38702.0
