Peaks Value,Peaks Time,IC Detected Value,IC Detected Time,TO Detected Value,TO Detected Time,Where IC Should've Been Value,Where IC Should've Been Time,Where TO Should've Been Value,Where TO Should've Been Time,IC Delay,TO Delay,Inital Detected IC value,Initial Detected IC time,Initial Detected TO value,Initial Detected TO time
146.51,2491.0,-127.05,3732.0,-125.58,4325.0,-127.54,2681.0,-146.23,3314.0,32.0,15.0,-127.54,2681.0,-146.23,3314.0
276.08,3590.0,-134.54,4787.0,-102.76,5237.0,-200.27,3756.0,-133.84,4332.0,24.0,123.0,-91.49,3724.0,-115.85,4317.0
242.69,4582.0,-137.2,5793.0,-128.17,6359.0,-185.43,4772.0,-179.48,5344.0,15.0,24.0,-122.64,4748.0,-99.05,5221.0
263.97,5596.0,-149.59,6784.0,-132.3,7356.0,-187.39,5785.0,-152.04,6352.0,8.0,16.0,-156.59,5770.0,-116.48,6328.0
312.9,6619.0,-182.35,7774.0,-151.69,8344.0,-160.02,6776.0,-179.55,7340.0,16.0,15.0,-149.66,6768.0,-128.38,7324.0
277.06,7663.0,-145.32,8778.0,-140.49,9357.0,-182.35,7774.0,-156.38,8336.0,8.0,15.0,-140.98,7758.0,-125.58,8321.0
246.19,8644.0,-191.45,9768.0,-169.26,10333.0,-178.57,8771.0,-145.81,9349.0,23.0,23.0,-137.83,8763.0,-127.19,9334.0
278.6,9650.0,-177.73,10763.0,-141.4,11324.0,-207.97,9776.0,-173.6,10340.0,16.0,15.0,-129.71,9753.0,-128.45,10317.0
261.87,10633.0,-136.57,11748.0,-162.19,12301.0,-177.73,10763.0,-161.7,11316.0,15.0,16.0,-146.51,10747.0,-139.02,11301.0
286.58,11614.0,-166.11,12737.0,-170.45,13294.0,-180.53,11740.0,-170.17,12293.0,15.0,15.0,-157.64,11725.0,-119.84,12277.0
253.05,12602.0,-179.06,13712.0,-171.99,14261.0,-194.18,12729.0,-173.04,13286.0,16.0,16.0,-148.82,12714.0,-136.01,13271.0
278.53,13593.0,-104.3,14695.0,-144.69,15252.0,-179.06,13712.0,-171.99,14261.0,8.0,15.0,-132.44,13696.0,-125.02,14245.0
260.82,14569.0,-170.52,15662.0,-157.85,16248.0,-155.4,14680.0,-153.93,15244.0,23.0,15.0,-140.0,14672.0,-130.2,15229.0
