TO,IC
3282,2548
4557,3842
5797,5080
7116,6364
8368,7640
9602,8896
10811,10107
12042,11327
13285,12572
14519,13807
15750,15037
16972,16282
18159,17476
19400,18680
20594,19897
21797,21106
22971,22303
24150,23470
25365,24680
26560,25873
27786,27065
28960,28295
30153,29470
31342,30660
32537,31839
33728,33056
34917,34242
36099,35439
37371,36657
38594,37899
39810,39116
41017,40319
42222,41533
43430,42737
44648,43966
45858,45175
47042,46362
48213,47546
49391,48741
50575,49896
51807,51109
52999,52314
54197,53506
55394,54698
56579,55899
57780,57097
58978,58283
60181,59498
61386,60704
62578,61898
63756,63082
