TO,IC
4749,4647
5672,4694
6599,4804
6778,5578
7449,5641
8353,6466
9217,6529
10097,6552
10999,7298
11878,7314
12752,7504
13631,8227
14556,8258
15385,8306
16263,9115
16471,9971
17101,10035
18018,10074
18859,10883
19084,10938
19775,11753
19975,11769
20620,12627
21493,12643
22369,12675
22588,12729
23242,13508
23462,13571
24124,14399
24352,14431
24943,15261
25186,16109
25791,17000
26042,17016
26137,17863
26663,17957
26679,18736
26921,18774
27541,19658
28446,19690
28659,19736
29296,20502
29547,20558
30200,20597
30365,21383
30436,21470
31090,22226
31293,22298
31939,23109
31955,23141
32192,23173
32809,23188
33060,23999
33681,24810
34577,24897
34822,25658
35458,26530
35700,26569
36347,27424
36433,27447
37214,28306
37472,28353
38087,29154
38350,30067
38972,30941
39214,30996
39846,31838
40080,31924
40749,32707
40968,32723
41625,33563
41877,34404
42382,34483
43293,35323
44083,35379
44882,36198
44898,36214
45322,36237
,37072
,37119
,37143
,37946
,38838
,38948
,39689
,39728
,39776
,40608
,40647
,40679
,40694
,41127
,41515
,42350
,46182
,46207
,47100
,47172
,47195
