TO,IC
3892,4487
3984,4541
4754,5396
4900,6315
5611,6353
5634,7155
6513,8057
7345,8110
7645,8901
8286,9804
9147,10713
10020,10728
10051,11630
10913,12496
10959,13412
11839,13482
11863,14313
12690,14366
12736,15186
12883,16075
13606,16106
13667,16972
14527,16995
14543,17853
15405,18703
15422,18719
16330,18734
16447,19538
17194,20362
17210,20378
18030,20424
18068,21256
18084,21271
18872,22104
18895,22158
19761,22945
20600,23807
21417,23853
21470,24672
21586,24695
22319,25596
23181,25619
23501,26445
24014,26461
24037,27327
24911,27342
25766,28241
25819,28311
26676,29145
27514,29168
27559,30000
27752,30885
28487,31793
29299,31855
29344,32664
29359,33505
30222,33520
31127,33567
32016,34430
32865,34445
33012,35280
33652,35311
34647,35326
35481,36138
36362,36161
36377,37034
37296,37049
37450,37088
38144,37936
38175,38831
39062,38900
39934,39743
39960,39805
40114,40650
40849,41554
40887,41985
43635,42070
44136,44546
