TO,IC
4594,4578
5840,4697
6852,5832
8021,6656
8462,6703
9067,6735
9099,6837
10170,7792
10186,7832
10209,8911
11156,9052
11196,9980
12521,9996
13472,11077
13488,11101
13535,11180
14693,12157
14733,13306
15671,13338
15726,13393
15993,14457
16876,14496
17902,14638
17940,15545
18201,15656
19056,16821
20057,17759
20104,18851
21303,18867
21342,19001
22234,19994
23347,20010
24424,21060
24448,21123
24700,21155
25364,21233
25750,21264
26595,21288
27597,21303
28652,22084
28706,22187
29686,23198
29741,23214
30857,24267
31930,24377
31961,25316
32973,26411
32989,26458
33059,26490
34077,26572
35217,27487
36368,27573
37365,28455
38432,28494
38478,28605
39552,28659
40538,29537
41707,29599
42731,29733
43898,30668
44958,30785
45227,31726
46076,32823
47089,32879
48143,32918
49276,32934
49299,33904
50252,33928
51389,34046
52302,35027
53393,35074
53935,35130
55943,36156
55998,36187
,36345
,37198
,37214
,37325
,38274
,38329
,39459
,39521
,40309
,40420
,40522
,41636
,41667
,41691
,42597
,42715
,43733
,43773
,43914
,44761
,45839
,45904
,45943
,46980
,47004
,47089
,47970
,48119
,48151
,49065
,49088
,49135
,49205
,49252
,50102
,50126
,50149
,50205
,50307
,51200
,51215
,51373
,52248
,52302
,52374
,53346
,53377
,53393
,53447
,54035
,54082
,54537
,54553
,54607
,54717
,54764
,54954
,54986
,55001
,55017
,55175
,55199
,55462
