TO,IC
647.0,2783.0
702.0,3863.0
733.0,4269.0
1185.0,4862.0
1239.0,4877.0
1562.0,5944.0
2016.0,5968.0
2953.0,7034.0
3014.0,8072.0
3037.0,9149.0
3220.0,9172.0
3361.0,10191.0
4077.0,10236.0
4154.0,11256.0
4340.0,12322.0
5045.0,13333.0
5091.0,14398.0
6166.0,14421.0
6182.0,15400.0
6244.0,15416.0
6421.0,15453.0
7202.0,16432.0
7272.0,16463.0
8210.0,17494.0
8271.0,17525.0
8526.0,18537.0
8572.0,19525.0
9355.0,20572.0
9370.0,20617.0
9455.0,21660.0
10382.0,22676.0
10397.0,22692.0
10466.0,23736.0
10481.0,24760.0
11432.0,25807.0
11486.0,25847.0
11524.0,26831.0
12622.0,27889.0
13578.0,28925.0
13601.0,28948.0
13823.0,29972.0
14627.0,30003.0
14658.0,31070.0
15689.0,31902.0
16601.0,32110.0
16624.0,33113.0
16639.0,34156.0
16692.0,35164.0
17779.0,35195.0
17794.0,36229.0
17810.0,36268.0
18713.0,37273.0
18797.0,38310.0
19815.0,39370.0
19853.0,39392.0
20869.0,40396.0
21907.0,41448.0
21930.0,41479.0
22952.0,42454.0
23995.0,43494.0
24018.0,43517.0
25033.0,43532.0
25217.0,44518.0
26043.0,44548.0
26097.0,45655.0
27044.0,45678.0
28134.0,46666.0
28164.0,46689.0
29207.0,47746.0
29230.0,48809.0
30250.0,48840.0
30280.0,49819.0
31343.0,50898.0
31490.0,52027.0
31505.0,52042.0
32361.0,52088.0
32384.0,
33314.0,
33329.0,
34410.0,
35469.0,
35624.0,
36475.0,
37527.0,
38532.0,
38586.0,
39569.0,
39616.0,
39808.0,
40664.0,
41709.0,
42721.0,
43761.0,
43783.0,
44733.0,
44778.0,
45891.0,
45929.0,
46942.0,
48005.0,
49053.0,
49076.0,
49099.0,
50102.0,
51135.0,
