TO,IC
3361.0,955.0
3385.0,1569.0
4630.0,1584.0
4654.0,1640.0
4701.0,2146.0
6115.0,3274.0
6147.0,3306.0
6180.0,3432.0
7650.0,3512.0
8135.0,4693.0
9218.0,4709.0
9313.0,4813.0
10555.0,4846.0
10627.0,4870.0
10999.0,6068.0
12135.0,6228.0
12221.0,6267.0
13430.0,7619.0
13486.0,7698.0
13891.0,9090.0
13914.0,9171.0
15083.0,10318.0
15351.0,10351.0
16393.0,10374.0
16417.0,10398.0
16465.0,10461.0
17742.0,10603.0
19364.0,11724.0
19395.0,11874.0
20549.0,13550.0
21045.0,13566.0
22277.0,13613.0
22339.0,13645.0
22534.0,14908.0
23566.0,15051.0
25126.0,15067.0
25442.0,16258.0
26476.0,16385.0
26500.0,17830.0
26562.0,18865.0
27889.0,19189.0
27912.0,19269.0
29267.0,19340.0
29346.0,19356.0
30253.0,19403.0
30293.0,20289.0
32211.0,20518.0
32235.0,20565.0
32259.0,20635.0
32497.0,21891.0
33375.0,22103.0
34924.0,23165.0
36256.0,23487.0
37879.0,24587.0
37927.0,24618.0
39090.0,24664.0
40612.0,24703.0
40659.0,24915.0
41041.0,24931.0
41830.0,25001.0
42045.0,25040.0
43294.0,25111.0
43381.0,26388.0
44711.0,26420.0
46189.0,27486.0
47971.0,27518.0
49151.0,27785.0
50490.0,27960.0
51638.0,28000.0
53293.0,28809.0
53595.0,28871.0
54618.0,28974.0
54681.0,29203.0
55812.0,29275.0
57330.0,29330.0
58690.0,30151.0
60029.0,30411.0
60084.0,31685.0
61332.0,31748.0
61372.0,32122.0
61387.0,32178.0
62749.0,32235.0
64046.0,33137.0
64093.0,33311.0
65492.0,33335.0
65546.0,33383.0
66635.0,34442.0
66705.0,34655.0
67993.0,34916.0
69646.0,35012.0
70838.0,36011.0
72278.0,36288.0
73721.0,36312.0
75372.0,36336.0
,37783.0
,37887.0
,37951.0
,38996.0
,39050.0
,39066.0
,40246.0
,40358.0
,40454.0
,40486.0
,40651.0
,41499.0
,41608.0
,41648.0
,41798.0
,41877.0
,41957.0
,41989.0
,42021.0
,42893.0
,42994.0
,43333.0
,43381.0
,44459.0
,44727.0
,44774.0
,45934.0
,46173.0
,46316.0
,47425.0
,47576.0
,48785.0
,48801.0
,48896.0
,48992.0
,49143.0
,50141.0
,50189.0
,50324.0
,50410.0
,50506.0
,51466.0
,51513.0
,51583.0
,51607.0
,51654.0
,51766.0
,51798.0
,51814.0
,51870.0
,52983.0
,53143.0
,53159.0
,53261.0
,53316.0
,54236.0
,54530.0
,54546.0
,54658.0
,54681.0
,55585.0
,55922.0
,55994.0
,57077.0
,57314.0
,58619.0
,59671.0
,59830.0
,59854.0
,59910.0
,61277.0
,61317.0
,61340.0
,61387.0
,62662.0
,62717.0
,62764.0
,63911.0
,64039.0
,64062.0
,64109.0
,64149.0
,65119.0
,65135.0
,65183.0
,65437.0
,65461.0
,66761.0
,66809.0
,68088.0
,68136.0
,68160.0
,68192.0
,69366.0
,69381.0
,69405.0
,69529.0
,69631.0
,69717.0
,70862.0
,70877.0
,70980.0
,72075.0
,72200.0
,72278.0
,72357.0
,73589.0
,73628.0
,73667.0
,73721.0
,73801.0
,75165.0
,75333.0
,76639.0
,77344.0
,77360.0
,77803.0
,78345.0
,78377.0
