TO,IC
2909.0,2264.0
4484.0,2365.0
5965.0,3684.0
7425.0,4069.0
7740.0,5596.0
8865.0,7164.0
10173.0,8551.0
11648.0,8582.0
13107.0,8597.0
14530.0,9822.0
14561.0,9845.0
15755.0,9914.0
15977.0,11281.0
16015.0,11342.0
17224.0,11396.0
17247.0,12655.0
18617.0,12740.0
18671.0,14124.0
19965.0,14185.0
20026.0,14231.0
20247.0,14261.0
21295.0,15217.0
21349.0,15633.0
22558.0,16908.0
22596.0,16947.0
22619.0,16962.0
22665.0,18108.0
23915.0,18170.0
25340.0,18194.0
25356.0,19459.0
25417.0,19566.0
25432.0,19612.0
25478.0,19658.0
26763.0,19674.0
26809.0,20926.0
28257.0,20942.0
28311.0,21010.0
28334.0,22285.0
29544.0,22323.0
29567.0,23648.0
29614.0,23671.0
30597.0,25023.0
30745.0,26502.0
30822.0,27921.0
30884.0,28011.0
31099.0,29246.0
31383.0,29262.0
32129.0,29285.0
32213.0,30467.0
32421.0,30497.0
33405.0,31876.0
33451.0,32928.0
33474.0,33159.0
34720.0,33190.0
34767.0,34496.0
35098.0,35901.0
36254.0,37233.0
37455.0,38347.0
37470.0,38555.0
37532.0,38586.0
38860.0,39980.0
38967.0,40310.0
39484.0,41375.0
40132.0,42796.0
40193.0,42812.0
40224.0,43913.0
40240.0,44068.0
41636.0,44091.0
41690.0,45467.0
41705.0,45522.0
41752.0,46913.0
43206.0,48299.0
44399.0,49679.0
44446.0,51062.0
44500.0,51085.0
45805.0,52394.0
45882.0,52425.0
45897.0,53721.0
45929.0,53751.0
47251.0,53798.0
47321.0,55135.0
47359.0,55158.0
47582.0,56487.0
48568.0,56572.0
48637.0,56587.0
48667.0,57892.0
48899.0,57968.0
49885.0,59246.0
49939.0,60525.0
51276.0,61848.0
51353.0,61901.0
51392.0,63256.0
51653.0,63279.0
52725.0,64671.0
54098.0,65928.0
54137.0,65959.0
55382.0,67315.0
55460.0,68615.0
56881.0,68669.0
58214.0,69958.0
58461.0,71330.0
59614.0,72660.0
60840.0,74128.0
61138.0,74197.0
62208.0,74229.0
62914.0,74267.0
63608.0,
63662.0,
64926.0,
64964.0,
65226.0,
66361.0,
66576.0,
67553.0,
67660.0,
67683.0,
67890.0,
68821.0,
68929.0,
68944.0,
70163.0,
70270.0,
70308.0,
71558.0,
71657.0,
71925.0,
71979.0,
73134.0,
