TO,IC
2840.0,1120.0
4147.0,1215.0
4632.0,1554.0
5404.0,1601.0
5968.0,1973.0
7035.0,2250.0
8517.0,2617.0
9633.0,2776.0
9649.0,3847.0
10998.0,3886.0
11356.0,4116.0
12205.0,5239.0
13737.0,5310.0
15045.0,5372.0
15085.0,5396.0
16632.0,5651.0
17934.0,5707.0
19185.0,6672.0
20206.0,7027.0
21244.0,7978.0
22490.0,8215.0
23475.0,8239.0
24644.0,8359.0
24824.0,8382.0
25545.0,8422.0
26750.0,8509.0
27768.0,9489.0
28678.0,9649.0
28922.0,9727.0
29558.0,10776.0
29802.0,10878.0
30445.0,10942.0
30680.0,11973.0
31340.0,12101.0
31551.0,12197.0
31583.0,13634.0
32226.0,13721.0
32477.0,13754.0
33121.0,13770.0
33371.0,14641.0
33989.0,14711.0
34229.0,14926.0
34872.0,15124.0
34888.0,16290.0
35108.0,16400.0
35755.0,16424.0
35771.0,16584.0
36005.0,16648.0
36599.0,17670.0
36857.0,17686.0
37490.0,17847.0
37725.0,17886.0
38310.0,19153.0
38565.0,19169.0
39103.0,19225.0
39563.0,19391.0
40249.0,20121.0
40557.0,20190.0
41287.0,21181.0
41311.0,21213.0
41591.0,21244.0
42247.0,21292.0
42262.0,22339.0
42631.0,22362.0
43338.0,22467.0
43599.0,23342.0
43623.0,23382.0
44329.0,23421.0
44345.0,24384.0
44621.0,24526.0
44645.0,25425.0
45303.0,25480.0
45326.0,25528.0
45632.0,25545.0
45648.0,26505.0
45664.0,26521.0
46217.0,26678.0
46930.0,27604.0
47937.0,27659.0
49364.0,27744.0
50695.0,27783.0
52107.0,28538.0
53588.0,28593.0
55122.0,28686.0
55146.0,29433.0
55474.0,29496.0
,30321.0
,30392.0
,30430.0
,31232.0
,32101.0
,32164.0
,32179.0
,33012.0
,33059.0
,33849.0
,33873.0
,33896.0
,33935.0
,34755.0
,35638.0
,35685.0
,36464.0
,36568.0
,37354.0
,37401.0
,37417.0
,38193.0
,38256.0
,39080.0
,40109.0
,41155.0
,41179.0
,41218.0
,42153.0
,42231.0
,43190.0
,43206.0
,44211.0
,44267.0
,45199.0
,45255.0
,46177.0
,46225.0
,47745.0
,47881.0
,47905.0
,49229.0
,49364.0
,50663.0
,50758.0
,51950.0
,52029.0
,53548.0
,53580.0
,53623.0
,53655.0
,54609.0
,54679.0
,54695.0
,54915.0
,54947.0
,55019.0
,55154.0
,56322.0
,56853.0
,57178.0
,58186.0
,58234.0
,58258.0
,58298.0
,58337.0
,58473.0
,58521.0
,58553.0
,58617.0
,58649.0
