TO,IC
974.0,1748.0
2637.0,3258.0
3789.0,3420.0
5205.0,3651.0
5783.0,4745.0
6754.0,4761.0
8085.0,6325.0
8115.0,6371.0
9405.0,7647.0
9636.0,7717.0
10736.0,7756.0
10790.0,8939.0
10836.0,8954.0
11965.0,10229.0
12026.0,10391.0
12463.0,10406.0
13481.0,10515.0
13627.0,11836.0
15024.0,13289.0
15140.0,14756.0
16310.0,16036.0
16432.0,16074.0
16470.0,16089.0
17735.0,17387.0
18755.0,17417.0
18846.0,18527.0
18861.0,19694.0
19898.0,20762.0
19982.0,20792.0
20005.0,21889.0
21089.0,21919.0
22225.0,21943.0
23150.0,22981.0
23272.0,24095.0
24234.0,25188.0
24334.0,26321.0
24558.0,27375.0
25486.0,27437.0
26467.0,28377.0
26574.0,28392.0
26767.0,28415.0
27728.0,29312.0
27743.0,29365.0
27866.0,30197.0
28677.0,30220.0
29542.0,31054.0
30413.0,31108.0
31278.0,31927.0
32143.0,32776.0
33001.0,32854.0
33031.0,33690.0
33155.0,33705.0
33951.0,34670.0
34914.0,34731.0
35955.0,35671.0
35978.0,35695.0
36933.0,36716.0
36964.0,37837.0
38103.0,37900.0
38126.0,38861.0
38142.0,39973.0
38292.0,41016.0
39135.0,42050.0
39166.0,42089.0
40258.0,43056.0
40281.0,43124.0
41245.0,44112.0
42349.0,45195.0
43338.0,45234.0
44097.0,46338.0
44396.0,47483.0
45478.0,47514.0
46591.0,48715.0
47791.0,48754.0
47837.0,50181.0
49215.0,50212.0
50594.0,51457.0
51911.0,51472.0
52118.0,51558.0
53286.0,51589.0
54526.0,52829.0
54549.0,52901.0
55986.0,54163.0
56200.0,55513.0
57393.0,55536.0
58699.0,55620.0
58722.0,56924.0
58990.0,57009.0
,58308.0
,58400.0
