TO,IC
1973,1445
2944,2453
3907,3403
4875,4370
5845,5355
6815,6316
7796,7302
8736,8245
9699,9193
10670,10163
11622,11125
12587,12086
13544,13046
14506,14000
15468,14962
16417,15924
17361,16876
18307,17815
19263,18764
20185,19695
21116,20633
22042,21557
22974,22491
23890,23408
24821,24330
25760,25268
26689,26191
27642,27143
28572,28091
29509,29018
30447,29964
31388,30894
32357,31852
33302,32821
34256,33759
35189,34688
36103,35611
37035,36537
37958,37467
38871,38381
39807,39309
40743,40252
41694,41197
42661,42150
