TO,IC
3820,3025
5189,4377
6474,5702
7739,6985
8988,8242
10008,9423
11045,10450
12093,11471
13151,12519
14236,13594
15310,14677
16377,15742
17448,16814
18503,17881
19549,18929
20622,19989
21665,21070
22615,22083
23550,23017
24463,23946
25431,24873
26383,25828
27359,26810
28319,27762
29312,28746
30281,29730
31273,30700
32330,31713
33404,32772
34478,33844
35567,34942
36663,36016
37779,37119
38870,38206
40023,39319
41274,40510
42486,41746
43691,42949
44912,44171
46163,45392
