TO,IC
3264.0,2606.0
4431.0,3767.0
5506.0,4911.0
6616.0,6004.0
7753.0,7112.0
8852.0,8226.0
9975.0,9332.0
11074.0,10424.0
12189.0,11554.0
13278.0,12668.0
14362.0,13742.0
15448.0,14828.0
16531.0,15915.0
17615.0,16990.0
18697.0,18075.0
19794.0,19170.0
20917.0,20293.0
21997.0,21384.0
23084.0,22462.0
24197.0,23579.0
25299.0,24670.0
26419.0,25798.0
27506.0,26884.0
28615.0,27988.0
29689.0,29088.0
30788.0,30155.0
31875.0,31250.0
32966.0,32348.0
34075.0,33447.0
35198.0,34556.0
36276.0,35655.0
37377.0,36759.0
38473.0,37852.0
39570.0,38948.0
40655.0,40044.0
41749.0,41144.0
42824.0,42215.0
43907.0,43294.0
44977.0,44381.0
46064.0,45446.0
47161.0,46549.0
48241.0,47636.0
49335.0,48726.0
50457.0,49817.0
51565.0,50923.0
52720.0,52070.0
